Id,CIF,Entidad_Norm,Provincia_Entidad,ID_ENTIDAD,NIF_COD,ACRONIMO,NOMBRE_ENTIDAD,Nombre_Entidad_Mostrar,TIPO_ENTIDAD_N1_1,TIPO_ENTIDAD_N2_1,DIRECCION_POSTAL,COD_POSTAL,COD_PROVINCIA,PROVINCIA,COD_CCAA,CCAA,ENLACE_WEB,SOMMA,TIPO_ENTIDAD_REGIONAL,ESTADO_x,CodigoInvente,DenominacionSocial,FormaJuridica_Codigo,FormaJuridica_Descripcion,NIF,codigoDir3,codigoOrigen,Provincia_Codigo,C_ID_UD_ORGANICA,C_DNM_UD_ORGANICA,C_ID_NIVEL_ADMON,C_ID_TIPO_ENT_PUBLICA,N_NIVEL_JERARQUICO,C_ID_DEP_UD_SUPERIOR,C_DNM_UD_ORGANICA_SUPERIOR,C_ID_DEP_UD_PRINCIPAL,C_DNM_UD_ORGANICA_PRINCIPAL,B_SW_DEP_EDP_PRINCIPAL,C_ID_DEP_EDP_PRINCIPAL,C_DNM_UD_ORGANICA_EDP_PRINCIPAL,C_ID_ESTADO,D_VIG_ALTA_OFICIAL,NIF_CIF,C_ID_AMB_PROVINCIA,C_DESC_PROV,CONTACTOS,List_Entidad_Norm,List_Provincia_Entidad,List_CIF
8251,,agr fundacion canaria parque cientifico tecnologico de la universidad de las palmas de gran canaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agr fundacion canaria parque cientifico tecnologico de la universidad de las palmas de gran canaria,,
8252,,agr fundacion centro tecnologico de supercomputacion de galicia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agr fundacion centro tecnologico de supercomputacion de galicia,,
8253,,agr fundacion md anderson international espana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agr fundacion md anderson international espana,,
8254,,agr fundacion parque cientifico universidad de valladolid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agr fundacion parque cientifico universidad de valladolid,,
8255,,agr fundacion parque cientifico y tecnologico de albacete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agr fundacion parque cientifico y tecnologico de albacete,,
8256,,agr fundacion publica andaluza progreso y salud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agr fundacion publica andaluza progreso y salud,,
8257,,agr institut de fisica d altes energies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agr institut de fisica d altes energies,,
8258,,agr institut de fisica d altes energies agr institut de fisica d altes energies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agr institut de fisica d altes energies agr institut de fisica d altes energies,,
8259,,agr institut de recerca i tecnologia agroalimentaries irta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agr institut de recerca i tecnologia agroalimentaries irta,,
8260,,agr instituto de salud carlos iii de madrid isciii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agr instituto de salud carlos iii de madrid isciii,,
8261,,agr instituto espanol de oceanografia ieo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agr instituto espanol de oceanografia ieo,,
8262,,agr instituto nacional de tecnica aeroespacial esteban terradas mde inta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agr instituto nacional de tecnica aeroespacial esteban terradas mde inta,,
