Id,CIF,Entidad_Norm,Provincia_Entidad,ID_ENTIDAD,NIF_COD,ACRONIMO,NOMBRE_ENTIDAD,Nombre_Entidad_Mostrar,TIPO_ENTIDAD_N1_1,TIPO_ENTIDAD_N2_1,DIRECCION_POSTAL,COD_POSTAL,COD_PROVINCIA,PROVINCIA,COD_CCAA,CCAA,ENLACE_WEB,SOMMA,TIPO_ENTIDAD_REGIONAL,ESTADO_x,CodigoInvente,DenominacionSocial,FormaJuridica_Codigo,FormaJuridica_Descripcion,NIF,codigoDir3,codigoOrigen,Provincia_Codigo,C_ID_UD_ORGANICA,C_DNM_UD_ORGANICA,C_ID_NIVEL_ADMON,C_ID_TIPO_ENT_PUBLICA,N_NIVEL_JERARQUICO,C_ID_DEP_UD_SUPERIOR,C_DNM_UD_ORGANICA_SUPERIOR,C_ID_DEP_UD_PRINCIPAL,C_DNM_UD_ORGANICA_PRINCIPAL,B_SW_DEP_EDP_PRINCIPAL,C_ID_DEP_EDP_PRINCIPAL,C_DNM_UD_ORGANICA_EDP_PRINCIPAL,C_ID_ESTADO,D_VIG_ALTA_OFICIAL,NIF_CIF,C_ID_AMB_PROVINCIA,C_DESC_PROV,CONTACTOS,List_Entidad_Norm,List_Provincia_Entidad,List_CIF
8974,,centro singular de investigacion en quimica biologica y materiales moleculares ciqus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro singular de investigacion en quimica biologica y materiales moleculares ciqus,,
8975,,centro singular de investigacion en quimica bioloxica e materiais moleculares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro singular de investigacion en quimica bioloxica e materiais moleculares,,
8976,,centro singular de investigacion en quimica bioloxica e materiais moleculars ciqus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro singular de investigacion en quimica bioloxica e materiais moleculars ciqus,,
8977,,centro singular de investigacion en tecnologias de la informacion de la universidad de santiago de compostela citius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro singular de investigacion en tecnologias de la informacion de la universidad de santiago de compostela citius,,
8978,,centro singular de investigacion en tecnoloxias da informacion citius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro singular de investigacion en tecnoloxias da informacion citius,,
8979,,centro social universitario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro social universitario,,
8980,,centro superior de estudios universitari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro superior de estudios universitari,,
8981,,centro tecn nal conservacion productos de la pesca cecopesca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro tecn nal conservacion productos de la pesca cecopesca,,
8982,,centro tecnologico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro tecnologico,,
8983,,centro tecnologico de automatica y robotica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro tecnologico de automatica y robotica,,
8984,,centro tecnologico de la transferencia de calor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro tecnologico de la transferencia de calor,,
8985,,centro tecnologico de vilanova i la geltru ctvg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro tecnologico de vilanova i la geltru ctvg,,
8986,,centro universitario cardenal cisneros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro universitario cardenal cisneros,,
8987,,centro universitario de la defensa de zaragoza cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro universitario de la defensa de zaragoza cup,,
8988,,centro universitario de merida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro universitario de merida,,
8989,,centro universitario de osuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro universitario de osuna,,
8990,,centro universitario de plasencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro universitario de plasencia,,
8991,,centro universitario eusa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro universitario eusa,,
8992,,centro universitario ucam cartagena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro universitario ucam cartagena,,
8993,,centro valenciano de estudios del riego cver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro valenciano de estudios del riego cver,,
8994,,centro waisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centro waisman,,
8995,,centros cientificos y tecnologicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centros cientificos y tecnologicos,,
8996,,centros del csic radicados en la comunidad autonoma de galicia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centros del csic radicados en la comunidad autonoma de galicia,,
8997,,centros singulares de investigacion ciqus y cimus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centros singulares de investigacion ciqus y cimus,,
8998,,cern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cern,,
8999,,cernep_centro de evaluacion y rehabilitacion neuropsicologica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cernep_centro de evaluacion y rehabilitacion neuropsicologica,,
9000,,cersyra valdepenas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cersyra valdepenas,,
9001,,cesam centro de estudos do ambiente e do mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cesam centro de estudos do ambiente e do mar,,
9002,,ceu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ceu,,
9003,,ceu escuela internacional de doctorado ceindo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ceu escuela internacional de doctorado ceindo,,
9004,,cfz cobots s l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cfz cobots s l,,
9005,,chalmers university of technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chalmers university of technology,,
9006,,cham centro de historia d aquem e d alem mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cham centro de historia d aquem e d alem mar,,
9007,,charite universitatsmedizin berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charite universitatsmedizin berlin,,
9008,,charles university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charles university,,
9009,,chillaron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chillaron,,
9010,,chillaron de cuenca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chillaron de cuenca,,
9011,,chinchilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chinchilla,,
9012,,chung yuan christian university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chung yuan christian university,,
9013,,ciaf albaladejito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciaf albaladejito,,
9014,,ciag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciag,,
9015,,ciaimbital_centro de investigacion en agrosistemas intensivos mediterraneos y biotecnologia agroalim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciaimbital_centro de investigacion en agrosistemas intensivos mediterraneos y biotecnologia agroalim,,
9016,,ciale instituto hispano luso de investigaciones agrarias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciale instituto hispano luso de investigaciones agrarias,,
9017,,ciapa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciapa,,
9018,,ciber de enfermedades neurodegenerativas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciber de enfermedades neurodegenerativas,,
9019,,cic biogune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cic biogune,,
9020,,cic biomagune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cic biomagune,,
9021,,ciderta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciderta,,
9022,,cides_centro de investigacion de economia social,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cides_centro de investigacion de economia social,,
9023,,ciemat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciemat,,
9024,,ciemat ceder csic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciemat ceder csic,,
9025,,ciemat centro de investigaciones energeticas medioambientales y tecnologicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciemat centro de investigaciones energeticas medioambientales y tecnologicas,,
9026,,ciemat energias renovables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciemat energias renovables,,
9027,,ciemat fisica de particulas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciemat fisica de particulas,,
9028,,ciemat madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciemat madrid,,
9029,,ciemat moncloa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciemat moncloa,,
9030,,ciencia de la decisio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciencia de la decisio,,
9031,,ciencia y tecnologia agroforestal y genetica etsiam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciencia y tecnologia agroforestal y genetica etsiam,,
9032,,ciencias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciencias,,
9033,,ciencias biologicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciencias biologicas,,
9034,,ciencias biologicas y ambientales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciencias biologicas y ambientales,,
9035,,ciencias de la actividad fisica y del deporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciencias de la actividad fisica y del deporte,,
9036,,ciencias de la educacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciencias de la educacion,,
9037,,ciencias de la informacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciencias de la informacion,,
9038,,ciencias de la salud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciencias de la salud,,
9039,,ciencias de la tierra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciencias de la tierra,,
9040,,ciencias del mar y ambientales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciencias del mar y ambientales,,
9041,,ciencias economicas empresariales y turismo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciencias economicas empresariales y turismo,,
9042,,ciencias economicas y empresariales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciencias economicas y empresariales,,
9043,,ciencias experimentales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciencias experimentales,,
9044,,ciencias fisicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciencias fisicas,,
9045,,ciencias geologicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciencias geologicas,,
9046,,ciencias humanas y sociales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciencias humanas y sociales,,
9047,,ciencias juridicas y sociales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciencias juridicas y sociales,,
9048,,ciencias matematicas e informatica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciencias matematicas e informatica,,
9049,,ciencias politicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciencias politicas,,
9050,,ciencias politicas sociales y de la comunicacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciencias politicas sociales y de la comunicacion,,
9051,,ciencias politicas y sociologia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciencias politicas y sociologia,,
9052,,ciencias quimicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciencias quimicas,,
9053,,ciencias sociales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciencias sociales,,
9054,,ciencias sociales juridicas y de la comunicacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciencias sociales juridicas y de la comunicacion,,
9055,,ciencias sociales y juridicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciencias sociales y juridicas,,
9056,,ciencies de la computacio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciencies de la computacio,,
9057,,ciencies de la terra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciencies de la terra,,
9058,,ciencies historiques i teoria de les arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciencies historiques i teoria de les arts,,
9059,,ciencies historiquesi teoria de les arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciencies historiquesi teoria de les arts,,
9060,,ciencies matematiques i informatica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciencies matematiques i informatica,,
9061,,cies centro de investigacion experimentacion y servicio del champinon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cies centro de investigacion experimentacion y servicio del champinon,,
9062,,ciesol centro mixto de investigacion en energia solar ual ciemat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciesol centro mixto de investigacion en energia solar ual ciemat,,
9063,,cima lab diagnostics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cima lab diagnostics,,
9064,,cime centro de investigacion en materiales estructuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cime centro de investigacion en materiales estructuras,,
9065,,cimedes_centro de investigacion mediterraneo de economia y desarrollo sostenible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cimedes_centro de investigacion mediterraneo de economia y desarrollo sostenible,,
9066,,cimus centro de investigacion en medicina molecular y enfermedades cronicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cimus centro de investigacion en medicina molecular y enfermedades cronicas,,
9067,,cimus centro singular de investigacion en medicina molecular y enfermidades cronicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cimus centro singular de investigacion en medicina molecular y enfermidades cronicas,,
9068,,cinn csic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cinn csic,,
9069,,cinn csic centro de investigacion en nanomateriales y nanotecnologia csic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cinn csic centro de investigacion en nanomateriales y nanotecnologia csic,,
9070,,ciphcn centro de investigacion en patrimonio historico cultural y natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciphcn centro de investigacion en patrimonio historico cultural y natural,,
9071,,ciqso centro de investigacion en quimica sostenible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciqso centro de investigacion en quimica sostenible,,
9072,,ciqus centro singular de investigacion en quimica biologica y materiales moleculares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciqus centro singular de investigacion en quimica biologica y materiales moleculares,,
9073,,ciqus centro singular de investigacion en quimica biologica y materiales moleculares ciqus centro singular de investigacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciqus centro singular de investigacion en quimica biologica y materiales moleculares ciqus centro singular de investigacion,,
9074,,cirad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cirad,,
9075,,cisap_centro de investigacion en salud y administracion publica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cisap_centro de investigacion en salud y administracion publica,,
9076,,cisot medio ambiente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cisot medio ambiente,,
9077,,cita ia2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cita ia2,,
9078,,citadelle erbil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,citadelle erbil,,
9079,,citcea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,citcea,,
9080,,citcem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,citcem,,
9081,,citcem centro de investigacao transdisciplinar cultura espaco e memoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,citcem centro de investigacao transdisciplinar cultura espaco e memoria,,
9082,,citius centro de investigacion en tecnoloxias da informacion de la usc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,citius centro de investigacion en tecnoloxias da informacion de la usc,,
9083,,citricultura y produccion vegetal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,citricultura y produccion vegetal,,
9084,,city university of london,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,city university of london,,
9085,,city university of new york,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,city university of new york,,
9086,,city university of new york cuny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,city university of new york cuny,,
9087,,ciudad real poblete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciudad real poblete,,
9088,,clamber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clamber,,
9089,,clemson university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clemson university,,
9090,,clinica odontologica de la facultad de medicina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinica odontologica de la facultad de medicina,,
9091,,clinica odontologica universitaria hospital morales meseguer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinica odontologica universitaria hospital morales meseguer,,
9092,,clinica universidad de navarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinica universidad de navarra,,
9093,,clinica universitaria de navarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinica universitaria de navarra,,
9094,,cliniques universitaires saint luc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cliniques universitaires saint luc,,
9095,,cnic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cnic,,
9096,,cnr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cnr,,
9097,,cnrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cnrs,,
9098,,cnrs universidad sorbona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cnrs universidad sorbona,,
9099,,cob ieo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cob ieo,,
9100,,coideso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coideso,,
9101,,coleccion espanola de cultivos tipo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coleccion espanola de cultivos tipo,,
9102,,colegio de la frontera norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,colegio de la frontera norte,,
9103,,colegio de michoacan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,colegio de michoacan,,
9104,,college of agricultural consumer and environmental sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,college of agricultural consumer and environmental sciences,,
9105,,college of arts and sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,college of arts and sciences,,
9106,,college of biological sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,college of biological sciences,,
9107,,college of charleston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,college of charleston,,
9108,,college of education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,college of education,,
9109,,college of education center for educational assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,college of education center for educational assessment,,
9110,,college of education university of illinois urbana champaign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,college of education university of illinois urbana champaign,,
9111,,college of engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,college of engineering,,
9112,,college of engineering mathematics and physical sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,college of engineering mathematics and physical sciences,,
9113,,college of human and health sciences swansea university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,college of human and health sciences swansea university,,
9114,,college of liberal arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,college of liberal arts,,
9115,,college of literature science and arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,college of literature science and arts,,
9116,,college of medicine department of ob gyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,college of medicine department of ob gyn,,
9117,,college of social behavioral sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,college of social behavioral sciences,,
9118,,collegue of applied health sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,collegue of applied health sciences,,
9119,,colorado school of mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,colorado school of mines,,
9120,,colorado state university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,colorado state university,,
9121,,colorado state university csu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,colorado state university csu,,
9122,,columbia university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,columbia university,,
9123,,comercio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,comercio,,
9124,,commisariat a l energie atomique et aux energies alternatives cea centre de grenoble ceng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commisariat a l energie atomique et aux energies alternatives cea centre de grenoble ceng,,
9125,,complejo asistencial universitario de burgos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complejo asistencial universitario de burgos,,
9126,,complejo hospitalario de especialidades virgen de la victoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complejo hospitalario de especialidades virgen de la victoria,,
9127,,complejo hospitalario materno insular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complejo hospitalario materno insular,,
9128,,complejo hospitalario regional de malaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complejo hospitalario regional de malaga,,
9129,,comptrasec centre de droit compare du travail et de la securite sociale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,comptrasec centre de droit compare du travail et de la securite sociale,,
9130,,computer science building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,computer science building,,
9131,,computer vision and systems laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,computer vision and systems laboratory,,
9132,,conacyt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conacyt,,
9133,,conacyt consejo nacional de ciencia y tecnologia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conacyt consejo nacional de ciencia y tecnologia,,
9134,,concordia university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concordia university,,
9135,,conicet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conicet,,
9136,,consejeria de sanidad de murcia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,consejeria de sanidad de murcia,,
9137,,consejo superior de investigaciones cientificas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,consejo superior de investigaciones cientificas,,
9138,,consejo superior de investigaciones cientificas centro de edafologia y biologia aplicada del segura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,consejo superior de investigaciones cientificas centro de edafologia y biologia aplicada del segura,,
9139,,consejo superior de investigaciones cientificas idab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,consejo superior de investigaciones cientificas idab,,
9140,,consejo superior de investigaciones cientificas instituto de agrobiotecnologia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,consejo superior de investigaciones cientificas instituto de agrobiotecnologia,,
9141,,conservacion de la biodiversidad y restauracion de ecosistemas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conservacion de la biodiversidad y restauracion de ecosistemas,,
9142,,consiglio nazionale delle ricerche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,consiglio nazionale delle ricerche,,
9143,,consiglio nazionale delle ricerche cnr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,consiglio nazionale delle ricerche cnr,,
9144,,consiglio nazionale delle ricerche istituto di studi sul mediterraneo antico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,consiglio nazionale delle ricerche istituto di studi sul mediterraneo antico,,
