"Id";"Entidad";"Origen_Solicitud";"Identificadores_Origen";"Entidad_Norm";"CIF";"CIF_validacion";"Centro";"Centro_Norm";"Tipo";"Provincia_Entidad";"Pais_Entidad";"Provincia_Centro";"PIC";"Tipo_Persona";"Entidad_Match";"Provincia_Match";"Match"
835;"UNIVERSIDAD AUTONOMA DE BARCELONA";"ACT_NAC";203138;"universidad autonoma de barcelona";"Q0818002H";"1";"DPTO. DE INGENIERIA DE LA INFORMACION Y DE LAS COMUNICACIONES";"dpto de ingenieria de la informacion y de las comunicaciones";"29999";"";"724,0000";"";"";"";"universidad autonoma de barcelona";8;"NIF MCIN"
837;"Universidad de Barcelona";"ACT_NAC";742696;"universidad de barcelona";"Q0818001J";"1";"Facultad de Medicina y Ciencias de la Sa";"facultad de medicina y ciencias de la sa";"20101";"";"724,0000";"";"";"";"universitat de barcelona";8;"NIF MCIN"
868;"UNIVERSIDAD POLITECNICA DE MADRID";"ACT_NAC";156239;"universidad politecnica de madrid";"Q2818015F";"1";"CENTRO DE TECNOLOGÍA BIOMÉDICA: CTB";"centro de tecnologia biomedica ctb";"29999";"";"724,0000";"";"";"";"universidad politecnica de madrid";28;"NIF MCIN"
876;"UNIVERSIDAD DE SEVILLA";"ACT_NAC";288513;"universidad de sevilla";"Q4118001I";"1";"ESCUELA UNIVERSITARIA ARQUITECTURA TECNICA";"escuela universitaria arquitectura tecnica";"20101";"";"724,0000";"";"";"";"universidad de sevilla";41;"NIF MCIN"
1851;"FUNDACION IDIBELL";"ACT_NAC";30082;"fundacion idibell";"G58863317";"1";"INSTITUTO DE INVESTIGACION BIOMEDICA DE BELLVITGE (IDIBELL)";"instituto de investigacion biomedica de bellvitge idibell";"29900";"";"724,0000";"";"";"";"fundacio privada institut d investigacio biomedica de bellvitge";8;"NIF MCIN"
866;"UNIVERSIDAD POLITÉCNICA DE CARTAGENA";"ACT_NAC";660333;"universidad politecnica de cartagena";"Q8050013E";"1";"College of Engineering";"college of engineering";"20101";"";"724,0000";"";"";"";"universidad politecnica de cartagena";30;"NIF MCIN"
869;"UNIVERSITAT POLITÈCNICA DE VALÈNCIA";"ACT_NAC";181088;"universitat politecnica de valencia";"Q4618002B";"1";"77";"77";"20101";"";"724,0000";"";"";"";"universitat politecnica de valencia";46;"NIF MCIN"
841;"UNIVERSIDAD CARLOS III DE MADRID";"ACT_NAC";33880;"universidad carlos iii de madrid";"Q2818029G";"1";"DPTO. DE BIOINGENIERIA E INGENIERIA AEROESPACIAL";"dpto de bioingenieria e ingenieria aeroespacial";"29999";"";"724,0000";"";"";"";"universidad carlos iii de madrid";28;"NIF MCIN"
843;"UNIVERSIDAD COMPLUTENSE DE MADRID";"ACT_NAC";274494;"universidad complutense de madrid";"Q2818014I";"1";"FACULTAD DE CIENCIAS DE LA INFORMACION";"facultad de ciencias de la informacion";"20101";"";"724,0000";"";"";"";"universidad complutense de madrid";28;"NIF MCIN"
867;"UNIVERSITAT POLITECNICA DE CATALUNYA";"ACT_NAC";431286;"universitat politecnica de catalunya";"Q0818003F";"1";"DPTO. ESTADISTICA E INVESTIGACION OPERATIVA";"dpto estadistica e investigacion operativa";"20101";"";"724,0000";"";"";"";"universidad politecnica de catalunya";8;"NIF MCIN"
900;"UNIVERSIDAD DE NAVARRA";"ACT_NAC";561550;"universidad de navarra";"R3168001J";"1";"INSTITUTO DE ESTUDIOS SUPERIORES DE LA EMPRESA. BARCELONA";"instituto de estudios superiores de la empresa barcelona";"20102";"";"724,0000";"";"";"";"universidad de navarra";31;"NIF MCIN"
1864;"ASOCIACION INSTITUTO BIODONOSTIA";"ACT_NAC";580034;"asociacion instituto biodonostia";"G75020313";"1";"INSTITUTO DE INVESTIGACION SANITARIA BIODONOSTIA";"instituto de investigacion sanitaria biodonostia";"20502";"";"724,0000";"";"";"";"asociacion instituto biodonostia";20;"NIF MCIN"
245;"CONSORCIO CENTRO DE INVESTIGACION BIOMEDICA EN RED M.P. (CIBER)";"ACT_NAC";449974;"consorcio centro de investigacion biomedica en red m p ciber";"G85296226";"1";"CONSORCIO CENTRO DE INVESTIGACION BIOMEDICA EN RED M.P. (CIBER)";"consorcio centro de investigacion biomedica en red m p ciber";"20501";"";"724,0000";"";"";"";"consorcio centro de investigacion biomedica en red";28;"NIF MCIN"
853;"UNIVERSITAT JAUME I DE CASTELLO";"ACT_NAC";477814;"universitat jaume i de castello";"Q6250003H";"1";"DEPARTAMENTO DE PSICOLOGÍA BÁSICA, CLÍNICA Y PSICOBIOLOGIA";"departamento de psicologia basica clinica y psicobiologia";"20101";"";"724,0000";"";"";"";"universidad jaume i de castellon";12;"NIF MCIN"
859;"UNIVERSIDAD DE MÁLAGA";"ACT_NAC";194208;"universidad de malaga";"Q2918001E";"1";"FACULTAD DE CIENCIAS";"facultad de ciencias";"20101";"";"724,0000";"";"";"";"universidad de malaga";29;"NIF MCIN"
1850;"CONSORCI INSTITUT D INVESTIGACIONS BIOMEDIQUES AUGUST PI I SUNYER";"ACT_NAC";500973;"consorci institut d investigacions biomediques august pi i sunyer";"Q5856414G";"1";"AGR-CONSORCI INSTITUT D INVESTIGACIONS BIOMEDIQUES AUGUST PI I SUNYER";"agr consorci institut d investigacions biomediques august pi i sunyer";"29999";"";"724,0000";"";"";"";"consorci institut d investigacions biomediques august pi i sunyer";8;"NIF MCIN"
1990;"FUNDACION PARA LA INVESTIGACION MEDICA APLICADA";"ACT_NAC";323974;"fundacion para la investigacion medica aplicada";"G82198524";"1";"CENTRO DE INVESTIGACION MEDICA APLICADA";"centro de investigacion medica aplicada";"29999";"";"724,0000";"";"";"";"fundacion para la investigacion medica aplicada";31;"NIF MCIN"
842;"UNIVERSIDAD DE CASTILLA-LA MANCHA";"ACT_NAC";285509;"universidad de castilla la mancha";"Q1368009E";"1";"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES";"escuela tecnica superior de ingenieros industriales";"20101";"";"724,0000";"";"";"";"universidad de castilla la mancha";13;"NIF MCIN"
866;"UNIVERSIDAD POLITÉCNICA DE CARTAGENA";"ACT_NAC";288671;"universidad politecnica de cartagena";"Q8050013E";"1";"DPTO DE INGENIERÍA DE ALIMENTOS Y DEL EQUIPAMIENTO";"dpto de ingenieria de alimentos y del equipamiento";"20101";"";"724,0000";"";"";"";"universidad politecnica de cartagena";30;"NIF MCIN"
305;"INSTITUTO TECNOLOGICO DE ARAGON";"ACT_NAC";645244;"instituto tecnologico de aragon";"Q5095008H";"1";"INSTITUTO TECNOLOGICO DE ARAGON";"instituto tecnologico de aragon";"29999";"";"724,0000";"";"";"";"instituto tecnologico de aragon";50;"NIF MCIN"
876;"UNIVERSIDAD DE SEVILLA";"ACT_NAC";477728;"universidad de sevilla";"Q4118001I";"1";"CENTRO NACIONAL DE ACELERADORES";"centro nacional de aceleradores";"20101";"";"724,0000";"";"";"";"universidad de sevilla";41;"NIF MCIN"
864;"Universidad Pablo de Olavide";"ACT_NAC";346717;"universidad pablo de olavide";"Q9150016E";"1";"Facultad de Ciencias Experimentales";"facultad de ciencias experimentales";"20101";"";"724,0000";"";"";"";"universidad pablo de olavide";41;"NIF MCIN"
869;"UNIVERSITAT POLITÈCNICA DE VALÈNCIA";"ACT_NAC";78768;"universitat politecnica de valencia";"Q4618002B";"1";"INSTITUTO DE TELECOMUNICACIONES Y APLICACIONES MULTIMEDIA - ITEAM";"instituto de telecomunicaciones y aplicaciones multimedia iteam";"29999";"";"724,0000";"";"";"";"universitat politecnica de valencia";46;"NIF MCIN"
879;"UNIVERSIDAD DE VIGO";"ACT_NAC";755719;"universidad de vigo";"Q8650002B";"1";"VICERRECTORADO DE INVESTIGACION";"vicerrectorado de investigacion";"20101";"";"724,0000";"";"";"";"universidad de vigo";36;"NIF MCIN"
